,city,cloudiness,humidity,latitude,longitude,max_temperature,wind_speed,country,datetime
272,chuy,97,88,-33.7,-53.46,64.71,6.22,UY,1595302335
273,palmer,20,54,42.16,-72.33,78.8,4.7,US,1595302095
274,namatanai,19,72,-3.67,152.43,84.61,8.01,PG,1595302335
275,hami,100,20,42.8,93.45,91.63,4.83,CN,1595302335
276,pervomayskoye,26,56,43.92,46.71,78.39,13.67,RU,1595302165
277,blora,55,59,-6.97,111.42,87.33,6.31,ID,1595302335
278,yellowknife,20,63,62.46,-114.35,70.0,8.05,CA,1595302150
279,rio gallegos,3,85,-51.62,-69.22,15.8,3.36,AR,1595302281
280,mastic beach,1,61,40.77,-72.85,81.0,4.7,US,1595302336
281,oranjemund,0,42,-28.55,16.43,60.21,0.96,NA,1595302081
282,battle creek,1,77,42.32,-85.18,69.8,3.36,US,1595302336
283,ormara,100,78,25.21,64.64,86.14,16.49,PK,1595302336
284,denpasar,75,100,-8.65,115.22,80.6,16.11,ID,1595302267
285,sept-iles,20,63,50.2,-66.38,66.99,10.29,CA,1595302336
286,nome,75,81,64.5,-165.41,57.0,12.75,US,1595302336
287,thompson,75,59,55.74,-97.86,66.2,1.39,CA,1595302067
288,avera,1,67,33.19,-82.53,80.6,3.36,US,1595302337
289,bonthe,100,93,7.53,-12.51,74.66,7.87,SL,1595302337
290,clarence town,40,59,-32.58,151.78,63.0,17.22,AU,1595302337
291,vidim,86,35,56.41,103.11,70.0,2.59,RU,1595302337
292,kishi,94,93,9.08,3.85,70.3,6.64,NG,1595302337
293,jertih,20,66,5.73,102.49,87.8,3.36,MY,1595302337
294,kars,0,87,40.6,43.09,55.4,2.24,TR,1595302122
295,sampit,16,54,-2.53,112.95,90.05,3.22,ID,1595302338
296,ndele,28,97,8.41,20.65,66.38,3.04,CF,1595302338
297,kununurra,37,14,-15.77,128.73,80.6,12.75,AU,1595302338
298,geraldton,0,59,-28.77,114.6,64.4,21.92,AU,1595302338
299,rabo de peixe,75,88,37.8,-25.58,66.2,4.7,PT,1595302338
300,prijepolje,0,100,43.37,19.64,53.6,2.24,RS,1595302338
301,marsa matruh,0,88,31.35,27.25,69.8,9.98,EG,1595302338
302,voznesenye,100,68,61.01,35.48,64.36,2.75,RU,1595302339
303,zemio,11,96,5.03,25.14,65.17,1.81,CF,1595302339
304,saskylakh,100,43,71.92,114.08,61.18,11.79,RU,1595302339
305,sombreffe,20,87,50.53,4.6,50.0,5.82,BE,1595302339
306,tevaitoa,36,79,-16.78,-151.5,78.08,25.05,PF,1595302339
307,sinnamary,100,85,5.38,-52.95,77.88,8.48,GF,1595302130
308,kolyubakino,40,93,55.67,36.53,60.8,6.71,RU,1595302339
309,lata,94,67,40.16,-8.33,71.01,1.97,PT,1595302339
310,hellin,0,69,38.51,-1.7,68.79,1.57,ES,1595302339
311,markova,69,88,48.68,24.41,59.5,4.79,UA,1595302340
312,puerto carreno,97,87,6.19,-67.49,73.78,1.77,CO,1595302120
313,roald,100,81,62.58,6.13,51.8,9.17,NO,1595302340
314,vaitape,37,81,-16.52,-151.75,78.46,25.21,PF,1595302340
315,xai-xai,0,89,-25.05,33.64,57.51,4.65,MZ,1595302340
316,kavieng,8,68,-2.57,150.8,85.59,9.93,PG,1595302340
317,hamilton,1,88,39.18,-84.53,80.01,3.89,US,1595302340
318,vytegra,100,77,61.01,36.45,60.73,1.25,RU,1595302341
319,yantal,30,37,56.85,105.25,71.17,0.38,RU,1595302341
320,raca,0,100,44.23,20.98,57.2,2.08,RS,1595302341
321,deputatskiy,84,44,69.3,139.9,79.84,10.18,RU,1595302341
322,noumea,75,56,-22.28,166.46,73.4,10.29,NC,1595302321
323,usinsk,10,53,65.99,57.53,65.91,6.58,RU,1595302341
324,mokhsogollokh,100,91,61.47,128.92,62.42,8.43,RU,1595302341
325,eidfjord,51,78,60.47,7.07,37.99,5.03,NO,1595302341
